📅 [2022.12.13] | SMA:  0.00 | BB: -0.16 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.84
📅 [2022.12.14] | SMA:  0.00 | BB:  0.48 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.48
📅 [2022.12.15] | SMA:  0.00 | BB: -0.52 | RSI:  0.00 | VOL:  0.36 | TOTAL: -0.15
📅 [2022.12.16] | SMA:  0.00 | BB: -0.81 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.19
📅 [2022.12.19] | SMA:  0.00 | BB: -0.31 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.31
📅 [2022.12.20] | SMA:  0.00 | BB: -0.09 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.09
📅 [2022.12.21] | SMA:  0.00 | BB:  0.26 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.74
📅 [2022.12.22] | SMA:  0.00 | BB: -0.29 | RSI:  0.00 | VOL: -0.56 | TOTAL: -0.85
📅 [2022.12.23] | SMA:  0.00 | BB: -0.01 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.01
📅 [2022.12.27] | SMA:  0.00 | BB:  0.08 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.92
📅 [2022.12.28] | SMA:  0.00 | BB: -0.31 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.31
📅 [2022.12.29] | SMA:  0.00 | BB:  0.45 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.55
📅 [2022.12.30] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
